time,ax,ay,az,wx,wy,wz,Bx,By,Bz
2023-10-17 22:19:31.2720,-0.03,-0.03,0.19,-0.03,-0.01,0.0,5.62,101.54,-626.71
2023-10-17 22:19:31.2820,0.01,-0.06,0.2,-0.03,-0.02,-0.01,6.38,102.15,-626.08
2023-10-17 22:19:31.2920,0.06,-0.09,0.17,-0.03,-0.03,-0.01,5.86,101.47,-626.74
2023-10-17 22:19:31.3020,0.05,-0.08,0.11,-0.03,-0.03,-0.01,6.38,102.24,-626.72
2023-10-17 22:19:31.3120,-0.03,-0.05,0.06,-0.04,-0.03,-0.01,6.1,101.45,-626.92
2023-10-17 22:19:31.3220,-0.08,0.0,0.02,-0.05,-0.02,-0.0,6.28,102.35,-626.79
2023-10-17 22:19:31.3320,-0.08,0.03,-0.02,-0.05,-0.01,0.01,6.28,101.46,-626.85
2023-10-17 22:19:31.3420,-0.06,0.04,-0.07,-0.05,0.0,0.01,6.35,102.01,-626.5
2023-10-17 22:19:31.3520,-0.03,0.06,-0.08,-0.05,0.0,0.01,6.06,101.57,-627.19
2023-10-17 22:19:31.3620,-0.02,0.03,-0.05,-0.05,0.01,0.0,6.3,102.22,-626.21
2023-10-17 22:19:31.3720,-0.01,-0.01,-0.02,-0.05,0.01,0.0,6.27,101.46,-626.83
2023-10-17 22:19:31.3820,-0.01,-0.04,-0.03,-0.04,0.02,-0.0,6.39,101.91,-626.68
2023-10-17 22:19:31.3930,0.0,-0.02,-0.04,-0.04,0.02,-0.0,6.21,101.46,-626.89
2023-10-17 22:19:31.4030,-0.01,-0.01,-0.03,-0.04,0.03,0.01,5.79,101.99,-626.61
2023-10-17 22:19:31.4130,-0.03,0.03,-0.04,-0.03,0.04,0.01,5.96,101.25,-627.4
2023-10-17 22:19:31.4230,-0.04,0.04,-0.02,-0.04,0.03,0.01,6.09,101.2,-627.15
2023-10-17 22:19:31.4330,-0.03,0.03,0.0,-0.04,0.03,0.01,5.93,102.06,-626.43
2023-10-17 22:19:31.4430,-0.04,0.0,0.01,-0.04,0.02,0.01,5.76,101.01,-626.81
2023-10-17 22:19:31.4530,-0.04,-0.02,0.03,-0.05,0.02,0.02,6.13,102.3,-626.63
2023-10-17 22:19:31.4630,-0.04,0.0,0.06,-0.04,0.01,0.01,5.96,101.54,-627.37
2023-10-17 22:19:31.4730,-0.01,0.0,0.08,-0.04,0.0,0.0,5.96,101.9,-626.43
2023-10-17 22:19:31.4830,-0.02,-0.02,0.07,-0.02,0.0,0.0,5.91,101.74,-627.03
2023-10-17 22:19:31.4930,-0.02,0.0,0.07,-0.02,0.0,0.01,5.53,102.14,-626.03
2023-10-17 22:19:31.5030,-0.04,0.0,0.05,-0.02,-0.0,0.01,6.07,101.18,-627.08
2023-10-17 22:19:31.5130,-0.05,-0.03,0.05,-0.01,0.0,0.01,5.99,101.76,-625.91
2023-10-17 22:19:31.5230,-0.02,-0.05,0.04,-0.02,0.01,0.01,5.74,101.8,-626.62
2023-10-17 22:19:31.5330,-0.01,-0.06,0.03,-0.02,0.01,0.0,6.16,102.13,-626.78
2023-10-17 22:19:31.5430,0.03,-0.02,-0.02,-0.01,0.01,-0.0,6.08,101.57,-627.18
2023-10-17 22:19:31.5540,0.03,-0.02,-0.04,-0.01,0.01,-0.0,5.78,101.85,-626.1
2023-10-17 22:19:31.5640,-0.02,-0.010911489129066467,-0.040745737552642824,-0.01,0.01,0.0,6.01,101.67,-627.19
2023-10-17 22:19:31.5740,-0.05,-0.02,-0.05,-0.01,0.01,0.0,6.17,102.12,-626.7
2023-10-17 22:19:31.5840,-0.03,-0.01,-0.06,-0.02,0.01,0.01,5.54,101.92,-627.33
2023-10-17 22:19:31.5940,-0.01,0.01590325713157654,-0.11,-0.03,0.0,0.0,6.02,102.14,-626.58
2023-10-17 22:19:31.6040,0.0,0.01,-0.11,-0.03,0.01,0.01,5.62,101.25,-627.15
2023-10-17 22:19:31.6140,0.02,0.06,-0.09,-0.04,0.0,0.01,5.82,102.51,-626.71
2023-10-17 22:19:31.6240,0.01,0.05,-0.07,-0.03,0.01,0.01,5.79,101.76,-627.57
2023-10-17 22:19:31.6340,-0.03,0.02,-0.05,-0.03,0.0,0.01,5.86,102.56,-626.58
2023-10-17 22:19:31.6440,-0.04,0.0,-0.01,-0.03,-0.0,0.01,5.81,101.86,-627.72
2023-10-17 22:19:31.6540,-0.04,-0.01,0.03,-0.03,-0.0,0.01,6.17,102.08,-626.69
2023-10-17 22:19:31.6640,-0.03,-0.03,0.02,-0.03,-0.01,0.01,6.02,101.63,-627.23
2023-10-17 22:19:31.6740,-0.03,-0.03,0.03,-0.03,-0.01,0.0,6.3,102.11,-625.95
2023-10-17 22:19:31.6840,0.0,-0.04,0.05,-0.04,-0.01,-0.0,6.36,101.74,-626.43
2023-10-17 22:19:31.6940,0.02,-0.05,0.03,-0.04,-0.01,-0.0,6.24,102.14,-626.46
2023-10-17 22:19:31.7040,0.02,-0.03,-0.01,-0.04,-0.01,-0.0,6.08,101.81,-626.57
2023-10-17 22:19:31.7150,0.0,0.0,0.01,-0.04,-0.0,0.0,6.17,102.04,-626.14
2023-10-17 22:19:31.7250,-0.07,0.03,0.02,-0.04,-0.0,0.01,5.84,101.97,-626.78
2023-10-17 22:19:31.7340,-0.07,0.03,0.02,-0.03,0.0,0.01,6.19,102.36,-626.75
2023-10-17 22:19:31.7450,-0.06,0.02,0.0,-0.02,0.01,0.01,6.19,101.61,-627.01
2023-10-17 22:19:31.7550,-0.02,0.02,-0.01,-0.02,0.0,0.01,6.29,101.78,-626.87
2023-10-17 22:19:31.7650,-0.02,0.01,0.0,-0.01,-0.0,0.01,6.09,101.49,-627.0
2023-10-17 22:19:31.7750,-0.02,0.0,0.0,-0.02,-0.0,0.0,6.1,101.72,-626.48
2023-10-17 22:19:31.7850,-0.01,-0.02,0.01,-0.02,0.0,0.0,6.27,101.45,-627.23
2023-10-17 22:19:31.7950,0.0,-0.03,-0.01,-0.02,-0.0,0.0,6.24,101.99,-626.87
2023-10-17 22:19:31.8050,-0.02,-0.02,-0.02,-0.02,-0.0,0.01,6.14,101.55,-626.56
2023-10-17 22:19:31.8150,-0.03,0.0,-0.01,-0.03,-0.0,0.01,5.8,101.4,-626.26
2023-10-17 22:19:31.8250,-0.02,-0.01,0.01,-0.03,-0.01,0.01,6.11,101.26,-626.7
2023-10-17 22:19:31.8350,-0.02,-0.01,0.01,-0.03,0.0,0.01,6.14,102.01,-626.82
2023-10-17 22:19:31.8450,0.01,-0.01,0.0,-0.04,0.01,0.01,6.04,101.56,-626.91
2023-10-17 22:19:31.8550,0.01,-0.03,-0.04,-0.07,0.01,0.02,6.34,101.87,-626.68
2023-10-17 22:19:31.8650,-0.02,-0.05,-0.06,-0.06,-0.01,-0.0,6.06,101.67,-627.16
2023-10-17 22:19:31.8750,-0.06,-0.05,-0.06,-0.03,-0.02,-0.01,5.75,101.46,-626.32
2023-10-17 22:19:31.8850,-0.03,0.06,0.05,-0.02,-0.01,0.0,6.25,101.52,-627.23
2023-10-17 22:19:31.8960,-0.03,0.04,0.06,-0.02,0.0,0.0,6.26,101.66,-626.35
2023-10-17 22:19:31.9060,-0.04,-0.01,0.03,-0.01,0.01,0.0,6.29,101.69,-627.37
2023-10-17 22:19:31.9160,0.01,-0.01,0.04,0.0,0.01,-0.0,6.01,101.92,-626.6
2023-10-17 22:19:31.9260,-0.01,-0.01,0.05,0.01,0.01,-0.0,5.69,101.53,-626.0
2023-10-17 22:19:31.9360,-0.02,0.01,0.06,0.0,-0.02,-0.0,6.15,101.63,-627.0
2023-10-17 22:19:31.9460,-0.02,0.01,0.08,0.01,-0.07,0.01,6.11,101.71,-626.74
